Id,Name,BrandId,CollectionId,CurrentPrice,Description,Specs,Image,AdditionalImages
42,Tourbillon,4,14,Price on request,"A classic round dress watch integrating a tourbillon in an ultra-thin profile. 40 mm case (often pink gold) with a prominent tourbillon visible at 6 o’clock on the dial, acting as the seconds indicator. The overall design is understated, highlighting the rotating tourbillon cage. Automatic winding via a peripheral rotor in some versions to maintain slimness. Demonstrates JLC’s prowess in fine finishing and complication integration in a slim case. Current high-end offering in the Master line.","Movement: Automatic Caliber 978 (tourbillon, 45h reserve, COSC chronometer rated); Case: 40 mm 18k rose gold, ~11.3 mm thick; Dial: Silvered with sunray brush, cutout at 6 o’clock for the one-minute tourbillon (blued seconds hand on cage); Strap: Brown alligator leather; Water Resistance: 50 m",JLCtourbillon.png,
43,Mariner Memovox,4,15,Price on request,"A diving-inspired alarm watch paying tribute to the 1968 Memovox Polaris. 42 mm stainless steel case, blue gradient dial. Equipped with a mechanical alarm (Memovox) that sounds underwater – a rare complication for divers. Has two crowns (one for time/alarm winding and setting, one for inner rotating dive bezel) plus an alarm on/off indicator. 300 m water resistant with a transparent caseback that lets one see the hammer mechanism. A unique blend of vintage charm and modern specification. Current model (limited availability).","Movement: Automatic Caliber 956 (alarm complication, 45h reserve); Case: 42 mm stainless steel, 15.6 mm thick, screw-down crowns; Dial: Blue gradient, luminous indices, alarm disk at center (triangle marker), inner rotating bezel for dive timing; Strap: Stainless steel bracelet; Water Resistance: 300 m",JLCmemovox.png,
44,Date,4,15,Price on request,"A contemporary take on the retro Polaris design, without the alarm complication. 42 mm steel case, black or blue dial with mixed finishing (grained and sunray segments) and large Arabic numerals at cardinal points. Internal rotating bezel for timing. Date window at 3 o’clock. 200 m water resistance. It’s a versatile sport-elegant watch that nods to JLC’s skin-diver heritage while offering everyday functionality. Current production.","Movement: Automatic Caliber 899A/1 (~38h reserve); Case: 42 mm stainless steel, 13.9 mm thick, dual crowns; Dial: Black with vintage-style creamy lume, internal rotating bezel (operated by 2 o’clock crown), date at 3; Strap: Black calfskin leather (textured); Water Resistance: 200 m",JLCdate.png,
45,Chronograph WT,4,15,Price on request,"A bold Polaris model combining chronograph and world-time functions. 44 mm titanium case for lightness, sporting a busy yet legible dial: outer rotating city disk for 24 time zones, inner 24-hour ring, and two chronograph subdials. Despite complications, retains 100 m water resistance. Black and white dial accents for clarity, with orange touches on the second time zone indicators. A true traveler’s sports watch that showcases JLC’s technical range. Limited edition model in the Polaris line (limited to 250 pieces).","Movement: Automatic Caliber 752 (chronograph with world time, 65h reserve); Case: 44 mm titanium, exhibition back; Dial: Black with world cities ring on flange, 24-hour disk, 30-min and 12-hr chrono subdials, central seconds, luminous markers; Strap: Brown calfskin; Water Resistance: 100 m",JLCchronograph.png,
46,Chronographe,4,16,Price on request,"Part of JLC’s innovative Duomètre series, this 42 mm watch contains twin power trains (“dual-wing”) – one dedicated to timekeeping, one to the chronograph – both regulated by the same escapement. This ensures using the chronograph doesn’t affect timekeeping precision. The dial (eggshell white) features jumping seconds (1/6th second resolution), a chronograph minute and hour counter, and a unique twin power reserve display. A showcase of technical creativity and traditional style. Limited production, introduced 2007.","Movement: Manual Caliber 380 (dual-wing: separate barrels for time and chrono, 50h reserve each); Case: 42 mm 18k yellow gold (or white gold), approx. 13.5 mm thick; Dial: Ivory grained, twin coaxial seconds (foudroyante & running) at 6, 60-min and 12-hr chrono counters at 3 & 9, small hour/minute dial at 2, dual power reserves; Strap: Brown alligator; Water Resistance: 50 m",JLCduometrechrono.png,
47,Quantième Lunaire,4,16,Price on request,"A dual-wing model focusing on calendar and astronomical display. It separates power for timekeeping and complications to optimize accuracy. 40.5 mm case in gold. The dial shows off-center hours/minutes, moonphase and date on the right, and a unique seconds with jumping hand (1/6th sec) on the left with a sweeping seconds beneath. Combines technical ingenuity with classical moonphase beauty. Introduced 2010, produced in limited numbers.","Movement: Manual Caliber 381 (dual-wing: one gear train for time, one for moonphase/date; 50h per barrel); Case: 40.5 mm 18k pink gold; Dial: Opaline silver, hour/minute subdial at 2, moonphase and date subdial at 4, jumping 1/6th second hand + sweeping seconds on left side; Strap: Brown alligator; Water Resistance: 50 m",JLCduometrelunaire.png,
48,Sphérotourbillon,4,16,Price on request,"The Duomètre series’ pinnacle: a multi-axis tourbillon combined with dual-wing architecture. The Sphérotourbillon (introduced 2012) features a tourbillon that rotates in two axes (inclined at 20° and spinning once per minute, and rotating fully every 30 seconds on second axis), eliminating gravity effects in most positions. Housed in a 42 mm case (often platinum or rose gold). The dial displays time, a second timezone (subdial at 6), and a second hand that can be stopped (for precise setting) without halting the balance. A marvel of engineering and fine finishing, blending complication with practicality. Very limited production.","Movement: Manual Caliber 382 (dual-wing with Sphérotourbillon, 50h reserve); Case: 42 mm 18k rose gold or platinum; Dial: Grained ecru, main time at 12, second time zone subdial at 6, aperture at 9 for the 3D tourbillon, power reserve at 4; Strap: Black or brown alligator; Other: Second hacking mechanism stops seconds hand without stopping tourbillon (for synchronization)",JLCsphero.png,
49,Lange 1 (Yellow Gold),5,17,Price on request,"A horological icon born in 1994, the Lange 1 is the very soul of modern Saxon watchmaking. With its asymmetrical dial, oversized date, and twin barrels, it declares its defiance of symmetry while embracing absolute precision. Encased in 18k yellow gold, this 38.5 mm sculpture of time is both regal and restrained — a quietly confident masterstroke that helped re-establish Glashütte’s prestige.","Movement: Manual Lange L121.1 (double barrel, big date, power reserve indicator, 72h); Case: 38.5 mm 18k yellow gold; Dial: Silvered, off-center hours/minutes, big date at 2, small seconds and power reserve at 5; Strap: Brown alligator; Other: Stop-seconds mechanism",ALSlange1.png,
50,Lange 1 Time Zone,5,17,Price on request,"Lange’s definitive travel companion. The Time Zone retains the architectural poise of the Lange 1 while adding a second timezone, day/night indicator, and 24-city ring to chart the world. Encased in pink gold, its dial is a symphony of balance, function, and subtle depth — a cosmopolitan complication for the true global aesthete.","Movement: Manual Caliber L031.1 (dual time, 72h); Case: 41.9 mm 18k pink gold; Dial: Solid silver, main time at left, second time zone at 5 with day/night, big date at 2, city disc for 24 time zones; Strap: Brown alligator",ALStimezone.png,
51,Grand Lange 1 Moon Phase,5,17,Price on request,"A larger stage for poetic function. The Grand Lange 1 Moon Phase preserves the off-center harmony of its smaller sibling while introducing a beautifully integrated moonphase into the hour subdial. The argenté dial, pink or white gold case, and finely detailed lunar disc combine to deliver astronomical elegance at full scale.","Movement: Manual Caliber L095.3 (moonphase, 72h reserve); Case: 40.5 mm 18k white gold; Dial: Argenté, off-center time with integrated moonphase disc, big date at 2, sub-seconds at 7; Strap: Black alligator",ALSLange1moon.png,
52,Digital Display,5,18,Price on request,Groundbreaking mechanical digital watch introduced in 2009. Hours and minutes displayed by jumping numerals in large apertures; small seconds and power reserve on dial. 42 mm case in white gold. Constant-force escapement ensures precise minute jumps. A bold blend of avant-garde display and traditional finishing. Ongoing production (recently updated movement in 2022).,"Movement: Manual Caliber L043.1 (remontoir constant-force, jumping hours/minutes, 36h); Case: 42 mm 18k white gold; Dial: Black/silver two-tone, digital hour and minute windows, small seconds at 6, power reserve at 12; Strap: Black alligator",ALSzeitwerk.png,
53,Striking Time,5,18,Price on request,"Time, made audible. The Zeitwerk Striking Time marries digital display with a visible chiming mechanism — two polished hammers ringing out the hours and quarters in crisp tonal clarity. A masterpiece of mechanical orchestration, it transforms passing time into sound and spectacle.","Movement: Manual Caliber L043.2 (jumping time with quarter-hour chimes, 36h); Case: 44.2 mm 18k white gold; Dial: Rhodium-plated, time displayed digitally, two polished steel hammers at 5 and 7 (strike on gong around dial); Strap: Black alligator",ALSzeitwerkstriking.png,
54,Minute Repeater,5,18,Price on request,An acoustic marvel of our time. This platinum Zeitwerk is the world’s first mechanical watch to chime its digital display using a decimal minute repeater. Each strike — in tens and minutes — echoes with precision and poetry. It is a sublime confluence of engineering genius and horological audacity.,"Movement: Manual Caliber L043.5 (decimal minute repeater with digital display, 32h); Case: 44.2 mm platinum; Dial: Black, digital hours/minutes, small seconds at 6, repeater hammers at 4 and 8 (chime ten-minute intervals and minutes); Strap: Black alligator",ALSzeitwerkMR.png,
55,Up/Down,5,19,Price on request,"A connoisseur’s chronograph. The Datograph Up/Down is revered for its hand-finished flyback chronograph movement and perfectly poised dial: large date, twin subdials, and a power reserve indicator (Up/Down). Its platinum case and black dial command presence, while its caliber L951.6 remains one of the most admired chronograph movements ever made.","Movement: Manual Caliber L951.6 (flyback chronograph, big date, power reserve 60h); Case: 41 mm platinum; Dial: Black, outsize date at 12, 30-min chrono and small seconds subdials, UP/DOWN power reserve at 6; Strap: Black alligator",ALSdatograph.png,
56,Perpetual,5,19,Price on request,"Two titans in one. The Datograph Perpetual unites flyback chronograph and perpetual calendar in a 41 mm white gold case. Its slate grey dial choreographs moonphases, leap years, and chronograph counters in perfect harmony. A triumph of complexity, symmetry, and Saxon finesse.","Movement: Manual Caliber L952.1 (chrono + perpetual calendar, 36h); Case: 41 mm 18k white gold; Dial: Grey, big date at 12, day/leap year at 9, month at 3, moonphase and day-night at 6, 30-min and running seconds subdials; Strap: Black alligator",ALSdatoperp.png,
57,Perpetual Tourbillon,5,19,Price on request,"The summit of A. Lange & Söhne’s ingenuity. Tourbillon, chronograph, and perpetual calendar — all concealed beneath a dignified black dial, with the tourbillon revealed only on the movement side. Limited to just 100 pieces, this 41.5 mm platinum rarity represents the apex of technical watchmaking and discreet grandeur.","Movement: Manual Caliber L952.2 (chrono, perpetual calendar, one-minute tourbillon, 50h); Case: 41.5 mm platinum; Dial: Black, layout similar to Datograph Perpetual, tourbillon visible on movement side; Strap: Black alligator; Limited: 100 pieces",ALSdatotourb.png,
58,Thin,5,20,Price on request,"Minimalism, perfected. The Saxonia Thin strips time to its essence — two hands, pure silver dial, and a case so slender it disappears under any cuff. Yet beneath its modest façade lies a hand-finished movement and a statement of restraint and refinement. Quiet, but never ordinary.","Movement: Manual Caliber L093.1 (thickness 2.9 mm, 72h reserve); Case: 40 mm 18k rose gold (5.9 mm thick); Dial: Solid silver, minimalist (no seconds or date), applied baton markers; Strap: Brown alligator",ALSsaxoniathin.png,
59,Moon Phase,5,20,Price on request,"The moon, reimagined with Saxon clarity. This 40 mm dress watch pairs an outsized date at 12 with a luminous moonphase at 6. Its automatic movement, gold rotor, and classic layout make it a perfect expression of mechanical elegance. The lunar complication, framed in restraint.","Movement: Automatic Caliber L086.5 (big date, moonphase, 72h); Case: 40 mm 18k white gold; Dial: Argenté, Lange outsize date at 12, moonphase and seconds subdial at 6; Strap: Black alligator",ALSsaxoniamoon.png,
60,Annual Calendar,5,20,Price on request,"Understated brilliance. The Saxonia Annual Calendar offers seamless month-to-month adjustment with the charm of a moonphase and big date. At 38.5 mm, it balances legibility and grace — ideal for collectors who appreciate practical complication cloaked in timeless design.","Movement: Automatic Caliber L085.1 Sax-o-Mat (annual calendar, zero-reset seconds, 46h); Case: 38.5 mm 18k pink gold; Dial: Silver, big date at 12, day and month windows at 10 & 2, moonphase and small seconds at 6; Strap: Brown alligator",ALSsaxoniaannual.png,
61,Excellence Panorama Date Moon Phase,6,21,Price on request,"A masterclass in Germanic restraint, the Senator Excellence Panorama Date Moon Phase marries clarity and complication in 40mm steel. Its Panorama big‑date and moonphase are harmoniously balanced and framed by a finely textured dial. Powered by the in‑house Caliber 36‑04 with a 100‑hour reserve, each watch passes Glashütte Original’s 24‑day Excellence testing—ensuring chronometric precision far beyond standard chronometer limits. A quietly confident expression of Saxon watchmaking, ideal for collectors who prize precision as much as poise.","Movement: Automatic Caliber 36-04 (100h reserve); Case: 40 mm steel; Dial: Lacquered white, Panorama big date at 4, moonphase at 10; Strap: Black alligator; Water Resistance: 50 m",GOsenatorMoon.png,
62,Chronometer,6,21,Price on request,"An ode to marine chronometry, the Glashütte Original Chronometer channels the spirit of high-seas navigation into a 42 mm white gold frame. Certified for chronometric precision by the German Calibration Service, it features a stop-seconds reset and minute detent — horological tools designed for pinpoint accuracy. The grain-textured silver dial, Roman numerals, and symmetrically arranged power reserve and small seconds evoke classical symmetry, while the in-house Caliber 58-01 beats within. It’s a seafarer’s soul encased in Saxon gold — a timekeeper built for precision, not spectacle.","Movement: Manual Caliber 58-01 (stop-seconds reset, 45h); Case: 42 mm white gold; Dial: Grained silver, big date at 3, power reserve at 12, small seconds at 6; Strap: Blue alligator",GOchronometer.png,
63,Cosmopolite,6,21,Price on request,"A technical triumph for the jet age, the Cosmopolite is Glashütte Original’s answer to global modernity. Its 44 mm white gold case houses the Caliber 89-02, capable of tracking 37 time zones — including rare half- and quarter-hour offsets. Home and local times are read at a glance, complemented by DST indicators and the brand’s iconic Panorama Date. This world timer is more than an instrument; it’s a horological passport for those whose lives cross continents and calendars. Bold, brilliant, and breathtakingly intelligent.","Movement: Automatic Caliber 89-02 (world time, 72h); Case: 44 mm white gold; Dial: Lacquered silver, apertures for city codes, day/night, home/local time subdials, Panorama Date; Strap: Black alligator",GOCosmopolite.png,
64,PanoMaticLunar,6,22,Price on request,"A signature of Glashütte Original’s Pano collection, the PanoMaticLunar weaves moonphase and Panorama date into an asymmetric dial aesthetic crafted with rare elegance. At 40mm steel, the off‑center time subdial, sweeping small seconds, and gentle lunar aperture form a visual poem. Inside, the automatic Caliber 90‑02 powers up to 42 hours and reveals a historically inspired three‑quarter plate and swan‑neck regulator through the display caseback. It’s subtle German precision cloaked in poetic design—a collectible born of clarity and nuance.","Movement: Automatic Caliber 90-02 (moonphase, date, 42h); Case: 40 mm steel; Dial: Blue, off-center time at left, Panorama Date at 4, moonphase at 2; Strap: Blue Louisiana alligator",GOPanoMaticLunar.png,
65,PanoReserve,6,22,Price on request,"Minimalism, measured. The PanoReserve strips timekeeping to its conceptual core, presenting hours, seconds, and power reserve across a galvanized silver dial like an architect’s sketch. Housed in 40 mm of red gold, its hand-wound Caliber 65-01 delivers tactile engagement and visual harmony. The off-center layout, signature to Glashütte Original, is elevated by warm metal tones and refined typography. This is restrained opulence — not shouting, simply showing.","Movement: Manual Caliber 65-01 (42h reserve); Case: 40 mm 18k red gold; Dial: Silver, off-center hour/min, small seconds at 7, power reserve arc at 2, Panorama Date at 4; Strap: Brown alligator",GOPanoReserve.png,
66,PanoInverse,6,22,Price on request,"A mechanical mirror turned outward, the PanoInverse transforms Glashütte Original’s movement architecture into dial-side art. At 42 mm in polished steel, it invites the eye into its inverted Caliber 66-06 — hand-engraved balance cock, blued screws, and twin swan-neck regulators proudly on display. Time is told off-center, suspended above this kinetic sculpture. The effect is theatrical, precise, and unmistakably German: a stage where chronometry and craft perform in harmony.","Movement: Manual Caliber 66-06 (inverted movement design, 41h); Case: 42 mm steel; Dial: Open movement plate with hand engravings, blued screws, off-center time subdial; Strap: Black alligator",GOPanoInverse.png,
67,1969 Limited Edition,6,23,Price on request,"Vintage spirit, modern steel. Limited to 69 pieces, the SeaQ 1969 resurrects Glashütte Original’s first diver with period-accurate fidelity — from its creamy lume to the “25 Rubis” dial print. The 39.5 mm case houses the automatic Caliber 39-11, rated to 200 m and paired with either nylon or Tropic-style rubber. Each detail is deliberate, down to the retro Arabic numerals and red depth rating. This isn’t retro-chic — it’s history revived, water-sealed.","Movement: Automatic Caliber 39-11 (40h); Case: 39.5 mm steel, unidirectional bezel; Dial: Matte black, creamy luminous numerals, date at 3; Strap: Tropic-style rubber or nylon; Water Resistance: 200 m",GOSeaQ1969.png,
68,Panorama Date (Blue),6,23,Price on request,"Function meets finesse in the SeaQ Panorama Date — a modern diver with Saxon sensibilities. The 43.2 mm steel case boasts 300 m of water resistance and a ceramic blue bezel, but it’s the sunray dial and signature big date that elevate this from utilitarian to exceptional. Beneath, the Caliber 36-13 delivers 100 hours of autonomy. Whether desk-diving or deep-sea dwelling, this is the rare tool watch that keeps its tie on.","Movement: Automatic Caliber 36-13 (100h, Panorama Date); Case: 43.2 mm steel, ceramic bezel, screw-down crown; Dial: Sunray blue, applied numerals/indexes with lume, big date at 4; Strap: Stainless steel bracelet or blue rubber; Water Resistance: 300 m",GOSeaQPanorama.png,
69,(Reed Green),6,23,Price on request,"A verdant twist on Glashütte Original’s classic diver, the SeaQ Reed Green wraps vintage inspiration in nature’s hue. The 39.5 mm steel case, rated to 200 m, encircles a matte green dial with bold Arabic numerals and date at 3. Inside, the Caliber 39-11 ticks reliably with 40 hours of reserve. This is not camouflage — it’s contrast, making a statement in the sea of black-dial dive watches.","Movement: Automatic Caliber 39-11 (40h); Case: 39.5 mm steel, unidirectional green bezel; Dial: Reed green, large luminous numerals and indices, date at 3; Strap: Green nylon strap or steel bracelet; Water Resistance: 200 m",GOSeaQ.png,
70,Black,6,24,Price on request,"Stealth mode, Saxon style. The SeaQ Black brings Glashütte’s diving pedigree into a sleek, classic profile: 39.5 mm stainless steel, matte black dial, luminous sword hands. With a screw-down crown and 200 m resistance, it’s ready for adventure — yet refined enough for the boardroom. The Caliber 39-11 within may be hidden, but its heritage echoes in every tick. Understated. Underwater. Undeniably GO.","Movement: Automatic Caliber 39-11 (40h);Case: 39.5 mm steel, unidirectional black bezel;Dial: Matte black, luminous sword hands and bold indices, date at 3;Strap: Black rubber strap or steel bracelet;Water Resistance: 200 m",GOspezialistBlack.png,
71,Panorama Date Blue,6,24,Price on request,"Glashütte Original channels the depth of Saxony’s lakes into this commanding blue diver. A fusion of German engineering and maritime grace, the SeaQ Panorama Date elevates tool-watch utility to refined art. Its deep dial shimmer, impeccable finishing, and panoramic calendar reflect a contemporary expression of GO’s historic marine chronometers—crafted not just to endure the elements, but to do so with quiet, Teutonic dignity.","Movement: Automatic Caliber 36-13 (100h, silicon spring);Case: 43.2 mm steel, unidirectional ceramic blue bezel;Dial: Sunburst blue with applied markers, big Panorama Date at 4;Strap: Blue rubber strap or steel bracelet;Water Resistance: 300 m",GOspezialistBlue.png,
72,Reed Green,6,24,Price on request,"Sporting a verdant hue pulled from dense forests surrounding Glashütte, this SeaQ edition exudes purpose with poise. Compact, robust, and unmistakably German, it fuses functional purity with rich color and detail. It’s an adventurer’s timepiece, yet dignified enough to share a wrist with a suit. A nod to GO’s precision roots, now reimagined for the modern explorer.","Movement: Automatic Caliber 39-11 (40h);Case: 39.5 mm steel, unidirectional green bezel;Dial: Reed green, large luminous numerals and indices, date at 3;Strap: Green nylon strap or steel bracelet;Water Resistance: 200 m",GOspezialistGreen.png,
73,Chronomètre Souverain,7,25,Price on request,"Elegant 40 mm dress watch known for its chronometric performance. Power reserve at 3, small seconds at 7, clean dial (often silver guilloché or Havana brown). Rose gold movement. Manual wind with twin barrels for stable timekeeping. Embodies Journe’s classical side. Still part of core collection.","Movement: Manual FP Journe Caliber 1304 (18k rose gold, twin barrels, ~56h); Case: 40 mm or 42 mm, available in platinum or red gold; Dial: Off-center sub-seconds, power reserve 56h indicator; Strap: Alligator leather",FPJcs.png,
74,Chronomètre Bleu,7,25,Price on request,"Cult-favorite variant of the CS: 39 mm tantalum case, vivid blue lacquer dial. Same caliber 1304 inside. Sought for its unique metal and dial color combination and limited production. No date, just superb finishing and a distinctive modern look. Extremely high demand among collectors.","Movement: Caliber 1304, rose gold bridges; Case: 39 mm tantalum; Dial: Electric blue chrome dial, small seconds at 7, power reserve at 3; Strap: Brown or blue leather",FPJbleu.png,
75,Chronomètre Optimum,7,25,Price on request,"Journe’s ultimate chronometer, incorporating a double wheel escapement and remontoire for constant force. 40 mm case, time-only with small seconds and 70h power reserve indicator on back. Delivers extremely high precision. Very limited production, showcases François-Paul Journe’s technical pinnacle in timekeeping.","Movement: Manual Caliber 1510 (double direct impulse escapement, 42h constant force remontoire, ~70h total); Case: 40 mm platinum or red gold; Dial: Off-center hours/min, small seconds at 9; Display Back: Power reserve visible on back; Strap: Crocodile leather",FPJoptimum.png,
76,Réserve de Marche,7,26,Price on request,"One of Journe’s early automatic models (Octa line) with a long power reserve ~120h. 40 mm case. Features an off-center time display, large date, and power reserve indicator. F.P. Journe’s first automatic caliber (Octa 1300) known for fitting complications in a thin design. A practical yet uniquely styled piece. No longer produced (replaced by newer Octa models).","Movement: Automatic Caliber 1300.1 (5-day power, 18k rose gold rotor); Case: 40 mm platinum or gold; Dial: Off-center hours/min, small seconds at 4:30, power reserve at 10:30, large date at 11; Strap: Leather strap",FPJoctareserve.png,
77,Lune,7,26,Price on request,"An Octa automatic featuring a moonphase and large date. 40 mm case. Asymmetrical dial with time, small seconds, and power reserve on left, and moonphase with date on right. 120h power reserve from the same thin Octa caliber. Combines everyday practicality with poetic moonphase. Discontinued model in current form (Journe updates dials periodically).","Movement: Automatic Caliber 1300.3 (5-day, moonphase module); Case: 40 mm rose gold or platinum; Dial: Time subdial at 9, small seconds at 5, big date and moonphase at 1–2, reserve at 10; Strap: Alligator",FPJoctalune.png,
78,Calendrier (Annual Calendar),7,26,Price on request,"Journe’s interpretation of an annual calendar. Uses Octa automatic movement modified for full calendar (day, date, month) requiring adjustment once per year (February). 40 mm case. Unconventional dial with retrograde date arc across the top and day/month windows. Limited production model showcasing practicality in Journe’s elegant style. (No longer in current catalog; produced mid-2000s.)","Movement: Automatic Caliber 1300.2 (annual calendar module, ~120h); Case: 40 mm platinum or gold; Dial: Retrograde date arc from 8 to 4, day window at 9, month window at 3, time subdial at 12, seconds at 4; Strap: Leather",FPJoctacal.png,
79, Souverain -1999,7,27,Price on request,"F.P. Journe’s first production model (1999): a tourbillon with remontoire (constant-force device) and deadbeat seconds – the first ever wristwatch to combine these. 38 mm or 40 mm case in platinum or gold. Dial with tourbillon visible at 9 and seconds, and power reserve at 12. This early series (“Souscription” and subsequent) established Journe’s reputation. Discontinued, succeeded by updated models.","Movement: Manual Caliber 1498 (18k rose gold, one-minute tourbillon, 42h, remontoire for constant force, deadbeat seconds); Case: 38 mm or 40 mm; Dial: Off-center time at 3, tourbillon aperture at 9, seconds on tourbillon, power reserve at 12; Strap: Alligator",FPJtourbillon.png,
80,(Dead-Seconds),7,27,Price on request,The second generation (circa 2004) Tourbillon Souverain incorporating Journe’s “seconde morte” (deadbeat seconds) visibly on dial. Largely similar to original but with slight dial changes (central seconds subdial) and movement improvements. 40 mm case typically. Demonstrates Journe’s continued refinement of his tourbillon concept. Discontinued 2019 (replaced by Vertical).,"Movement: Manual Caliber 1403 (tourbillon with remontoire & dead seconds, ~42h); Case: 40 mm gold or platinum; Dial: Time subdial at 3, tourbillon at 9, dead seconds indicated centrally or at 6 (depending on edition), power reserve; Strap: Leather",FPJtourbillonSouverain.png,
81,Vertical,7,27,Price on request,20th anniversary edition of Journe’s tourbillon (2019) – features a vertically oriented tourbillon cage. Limited to 20 pieces in tantalum with bright blue dial ring. Also includes remontoire and dead seconds. Unique aesthetics with tourbillon visible through cut-out in dial and sapphire top on the case. Marks a celebratory evolution of Journe’s hallmark complication. All sold out immediately.,"Movement: Manual Caliber 1519 (vertical tourbillon, constant force, deadbeat seconds, 80h); Case: 42 mm tantalum; Dial: Blue lacquered ring, cutaway center displaying vertical tourbillon mechanism; Strap: Blue alligator; Limited: 20 pieces",FPJtourbillonvertical.png,
82,(Invention 1),8,28,Price on request,"Greubel Forsey’s first invention, debuted in 2004: an innovative Double Tourbillon mechanism with one tourbillon cage inclined at 30° inside a larger 4-minute tourbillon cage. Housed in a 43.5 mm case (typically in gold). This construction averages out gravity effects in multiple positions, dramatically improving chronometric performance. Only a few examples were made early on, laying the foundation for the brand’s philosophy of extreme chronometry and hand-finishing.","Movement: Manual Greubel Forsey caliber (Double Tourbillon 30° mechanism, 1 inner cage rotating in 60s, 1 outer cage in 4min, 72h+ reserve); Case: ~43.5 mm 18k gold, with lateral display window on some editions; Dial: Silvered (partial open-work), off-center time display, power reserve indicator; Strap: Hand-sewn alligator; Water Resistance: 30 m",GFDT30.png,
83,Technique,8,28,Price on request,"An openworked execution of the Double Tourbillon 30°, unveiled 2009. Features a fully skeletonized dial movement under a sapphire crystal, showcasing every mechanism in 3D. Four fast-rotating barrels provide 120h (5 days) of power ","Movement: Manual Greubel Forsey Double Tourbillon 30° (inclined inner 1-minute tourbillon inside 4-minute outer tourbillon, 120h reserve via four barrels); Case: 47.5 mm (various: WG/RG/PT, Titanium, Sapphire, Ceramic); Dial: Fully openworked, indicating hours, minutes, small seconds, 72h chronometric power reserve; Strap: Hand-stitched alligator; Water Resistance: 30 m",GFTechnique.png,
84,Asymétrique,8,28,Price on request,"Limited to 22 pieces (2013–2014), this version reimagined the Double Tourbillon 30° in an asymmetrical case design","Movement: Manual Greubel Forsey Double Tourbillon 30° (twin-axis tourbillon with 1min/4min rotations, 72h reserve); Case: 43.5 mm asymmetrical, 18k red or white gold, bulging sapphire window on case side; Dial: Multi-level, time subdial at 1 o’clock, power reserve at 2, exposed tourbillon at 8; Strap: Black hand-sewn alligator; Water Resistance: 30 m",GFAsym.png,
85,(Contemporain),8,29,Price on request,"Greubel Forsey’s second invention, first presented in 2007: a single tourbillon inclined at 25° and making a rapid revolution in 24 seconds. This high-speed inclined tourbillon averages out timing errors in more positions. Early models like the Tourbillon 24 Secondes Asymétrique used asymmetric cases, while the Contemporain (2012) introduced a round 43.5 mm case (often in platinum with a blue dial). These pieces display a dramatic elevated tourbillon at 8 o’clock and have a 72h power reserve. A significant evolution in GF’s pursuit of chronometry","Movement: Manual Greubel Forsey Tourbillon 24s (inclined 25° fast tourbillon, 24s per rotation, 72h reserve via twin barrels); Case: 43.5 mm platinum or gold; Dial: Blue enamel or multi-level silvered, off-center hours/minutes, 24s tourbillon at 8 o’clock with inclined cage, power reserve indicator; Strap: Hand-sewn alligator; Water Resistance: 30 m",",GF24SecCont.png",
86,Vision,8,29,Price on request,"A notable variant that won the Aiguille d’Or (Grand Prix) in 2015. The Tourbillon 24 Secondes Vision placed the fast inclined tourbillon into a relatively slim 43 mm round case with a domed sapphire on the caseback to accommodate the cage’s height. Platinum with a subdued dial, it was lauded for blending Greubel Forsey’s technical virtuosity with elegant, wearable design. A clear, understated enamel dial hides the inclined tourbillon which is visible through the sapphire rear dome. Limited to 22 pieces in platinum.","Movement: Manual Greubel Forsey Tourbillon 24 Secondes (fast 24s inclined tourbillon, 72h reserve); Case: 43 mm platinum, 13.65 mm thick with curved sapphire protrusion on caseback; Dial: White enamel, blued steel hands, tourbillon visible only via rear display dome; Strap: Black alligator; Water Resistance: 30 m",GF24SecVision.png,
87,“Architecture,8,29,Price on request,"A contemporary marvel (released 2022) showcasing a fully modernized design. The Architecture presents the 24-second inclined tourbillon in a new 47 mm convex titanium case with panoramic sapphire openings in the case band. The movement is a concentric, skyscraper-like construction with layered bridges and skeletonized structures, visible from all angles. It indicates hours and minutes on a minimalist sapphire ring. This piece embodies GF’s futuristic approach, pushing the limits of aesthetics and mechanics. Extremely limited production.","Movement: Manual Greubel Forsey Tourbillon 24 Secondes (inclined high-speed tourbillon, 90h reserve); Case: 47 mm titanium, convex profile with lateral sapphire windows; Dial: Sapphire chapter ring for hours/minutes, multi-level movement architecture with suspended gear bridges, tourbillon at 6 o’clock; Strap: Textured rubber or alligator; Water Resistance: 30 m",GF24SecArch.png,
88,Balancier S (Convexe),8,30,Price on request,"Greubel Forsey’s take on a luxury sports watch, introduced 2020. The Balancier S features a large, inclined balance wheel (12.6 mm) prominently visible on the dial, inside a 44 mm lightweight titanium case with an ergonomic “convex” profile and integrated rubber strap. It offers 100 m water resistance – unusual for GF – and a 72h power reserve. The design includes a curved sapphire crystal and sloping case sides for a bold, modern aesthetic. It marked a new, sportier direction for the brand while preserving GF’s high finishing standards.","Movement: Manual Greubel Forsey Caliber with 30° inclined balance (large balance wheel, 72h reserve); Case: 44 mm titanium, convex shape, curved sapphire, screw-down crown; Dial: Open architecture with inclined balance at 7, small seconds and power reserve at 2, luminescent indices; Strap: Integrated textured rubber; Water Resistance: 100 m",GFBalancierS.png,
